interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
78-18-21-65,3,Queso,Quesos,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,4,Pan,Pan,250,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,5,Verdura,Verduras,200,1,,1,1,,50,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
53-73-04-92,1,Carne de res,Carne de res,500,1,,50,1,,6500,poca venta,0,NA,NA,10,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,1,Chilaquiles,Comida preparada,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,2,Carne de pollo,Pollo,8,1,,1,1,,95,Merma,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,3,Carne de res,Carne de res,8,1,,1,1,,100,Merma,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,4,Pan,Pan,60,6,Piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,1,Jitomate,Jitomate,52,1,,15,1,,240,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,2,Cebolla,Cebolla,70,1,,31,1,,496,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,3,Papa,Papa,60,1,,25,1,,250,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,4,Tomate,Tomate,100,1,,15,1,,248,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,5,Calabaza,Calabaza,12,1,,6,1,,90,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,6,Tomate,Tomate,100,1,,31,1,,310,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
97-73-87-30,1,Lechuga romana,Lechuga,144,1,,14,1,NA,300,Factores climáticos,7,6,Porciento,8,,#NULL!,#NULL!,,1,0 a 5 personas
36-35-54-94,1,Longaniza,Longaniza,40,1,,8,1,,600,No sé vendio,8,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
36-35-54-94,2,Tripa,Tripa,200,1,,1,1,,400,No sé vendio,1,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
20-27-37-35,1,Tortilla de maíz,Tortillas,475,1,,5,1,NA,100,poca venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
65-10-32-47,1,Migas(caldo),Migas(caldo),450,3,,42,3,,700,No sé vendio todo,450,3,,7,,#NULL!,#NULL!,,1,0 a 5 personas
50-66-00-68,1,Jitomate,Jitomate,728,1,,60,1,,992,merma,60,1,,3,,0,#NULL!,,1,0 a 5 personas
50-66-00-68,2,Ejote,Ejote,155,1,,31,1,,620,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
